time,seconds_elapsed,z,y,x
1772734439878070800,0.52207080078125,9.708487510681152,-0.8810662031173706,-0.9744400978088379
1772734439888081400,0.532081298828125,9.718064308166504,-0.8403648138046265,-1.0319008827209473
1772734439898143200,0.542143310546875,9.655815124511719,-0.8355764150619507,-1.0534487962722778
1772734439908153900,0.55215380859375,9.691728591918945,-0.8690952062606812,-0.9816226959228516
1772734439918208800,0.562208740234375,9.624691009521484,-0.8834604024887085,-1.0893617868423462
1772734439928209000,0.572208984375,9.679757118225098,-0.8690952062606812,-1.0319008827209473
1772734439938282800,0.58228271484375,9.667786598205566,-0.912190854549408,-0.950498104095459
1772734439948270300,0.592270263671875,9.6989107131958,-0.9409212470054626,-0.950498104095459
1772734439958672400,0.60267236328125,9.706093788146973,-0.9074024558067322,-0.9983820915222168
1772734439968327000,0.612326904296875,9.715670585632324,-0.9169792532920837,-1.039083480834961
1772734439978378800,0.622378662109375,9.6989107131958,-0.8619126081466675,-0.993593692779541
1772734439988387600,0.6323876953125,9.660603523254395,-0.8906430602073669,-1.0223240852355957
1772734439999066600,0.643066650390625,9.684545516967773,-0.8092401623725891,-1.0965443849563599
1772734440008447200,0.652447265625,9.684545516967773,-0.8858546018600464,-1.072602391242981
1772734440020981500,0.6649814453125,9.57441234588623,-0.8810662031173706,-1.091755986213684
1772734440028525300,0.672525390625,9.569623947143555,-0.871489405632019,-0.9959878921508789
1772734440038589400,0.68258935546875,9.615114212036133,-0.8212111592292786,-0.9576807022094727
1772734440048588500,0.692588623046875,9.684545516967773,-0.7637503147125244,-0.9528923034667969
1772734440058984200,0.702984130859375,9.806650161743164,-0.6847416758537292,-1.0319008827209473
1772734440068681200,0.71268115234375,9.821015357971191,-0.7254431247711182,-1.1540051698684692
1772734440078768000,0.72276806640625,9.737217903137207,-0.8930372595787048,-1.213860273361206
1772734440088751600,0.732751708984375,9.646238327026367,-0.950498104095459,-1.2473790645599365
1772734440098814700,0.742814697265625,9.50498104095459,-1.0438719987869263,-1.0773907899856567
1772734440108822000,0.752822021484375,9.375694274902344,-1.1516109704971313,-1.0295066833496094
1772734440118909000,0.762908935546875,9.454702377319336,-0.9457096457481384,-1.0199298858642578
1772734440128896500,0.772896484375,9.543288230895996,-0.7086837291717529,-0.9313444495201111
1772734440138955300,0.782955322265625,9.751583099365234,-0.5027823448181152,-1.070208191871643
1772734440148956700,0.792956787109375,10.065223693847656,0.002394201699644327,-1.216254472732544
1772734440159961000,0.803961181640625,9.99339771270752,-0.1843535304069519,-1.335964560508728
1772734440169038000,0.8130380859375,9.931148529052734,-0.5291185975074768,-1.3527239561080933
1772734440180702000,0.824701904296875,9.871294021606445,-0.7134721279144287,-1.2617442607879639
1772734440199259000,0.8432587890625,9.660603523254395,-0.9888052940368652,-1.2330138683319092
1772734440209285400,0.853285400390625,9.672574996948242,-0.912190854549408,-1.2282254695892334
1772734440219339000,0.863339111328125,9.66299819946289,-0.8427590131759644,-1.3958195447921753
