time,seconds_elapsed,z,y,x
1772734439867304200,0.51130419921875,19.44570541381836,-0.9457096457481384,-0.9696516990661621
1772734439878076000,0.522075927734375,-0.0694318488240242,0.004788403399288654,0.004788403399288654
1772734439888086300,0.532086181640625,0,0.0694318488240242,0
1772734439898148400,0.5421484375,0.0071826050989329815,0.10055647045373917,-0.05506663769483566
1772734439908158700,0.55215869140625,-0.05267243832349777,0.10534487664699554,-0.07661445438861847
1772734439918214000,0.5622138671875,-0.016759412363171577,0.05506663769483566,0.0071826050989329815
1772734439928214000,0.572214111328125,-0.08379705995321274,0.040701430290937424,-0.09816227108240128
1772734439938287900,0.582287841796875,-0.026336219161748886,0.05027823522686958,-0.023942016065120697
1772734439948275200,0.592275146484375,-0.038307227194309235,0.0071826050989329815,0.05506663769483566
1772734439958677500,0.602677490234375,-0.009576806798577309,-0.023942016065120697,0.047884032130241394
1772734439968331800,0.612331787109375,-0.002394201699644327,0.0071826050989329815,0
1772734439978384000,0.6223837890625,0.004788403399288654,-0.002394201699644327,-0.043095629662275314
1772734439988392400,0.632392333984375,-0.009576806798577309,0.05027823522686958,0
1772734439999071700,0.64307177734375,-0.047884032130241394,0.016759412363171577,-0.023942016065120697
1772734440008452000,0.6524521484375,-0.023942016065120697,0.09816227108240128,-0.09816227108240128
1772734440020986600,0.664986572265625,-0.023942016065120697,0.0071826050989329815,-0.05746084079146385
1772734440028530200,0.6725302734375,-0.13407529890537262,0.011971008032560349,-0.07661445438861847
1772734440038594600,0.682594482421875,-0.1364694982767105,0.021547814831137657,0.031124621629714966
1772734440048593700,0.69259375,-0.090979665517807,0.07182604819536209,0.0694318488240242
1772734440058989300,0.7029892578125,-0.023942016065120697,0.1149216815829277,0.06464344263076782
1772734440068686300,0.712686279296875,0.09576806426048279,0.19393034279346466,-0.011971008032560349
1772734440088756500,0.732756591796875,0.023942016065120697,-0.040701430290937424,-0.19393034279346466
1772734440098819600,0.742819580078125,-0.06224924325942993,-0.0933738648891449,-0.19632454216480255
1772734440108827100,0.7528271484375,-0.20350714027881622,-0.1867477297782898,-0.026336219161748886
1772734440118914000,0.7629140625,-0.3280056416988373,-0.26096799969673157,0.026336219161748886
1772734440128901400,0.7729013671875,-0.24899697303771973,-0.05506663769483566,0.035913024097681046
1772734440138960400,0.78296044921875,-0.16519992053508759,0.14365209639072418,0.11013327538967133
1772734440148961800,0.7929619140625,0.040701430290937424,0.3495534360408783,-0.026336219161748886
1772734440159966200,0.80396630859375,0.3495534360408783,0.8092401623725891,-0.17956513166427612
1772734440169043000,0.81304296875,0.2777273952960968,0.6224924325942993,-0.2992752194404602
1772734440180707000,0.82470703125,0.21308395266532898,0.2753331959247589,-0.3232172429561615
1772734440199264000,0.843263916015625,0.014365210197865963,-0.1412578970193863,-0.21308395266532898
1772734440209290200,0.853290283203125,-0.05267243832349777,-0.15562310814857483,-0.21308395266532898
1772734440219344100,0.86334423828125,-0.040701430290937424,-0.0694318488240242,-0.22266076505184174
1772734440229368000,0.8733681640625,-0.05027823522686958,0,-0.3902548849582672
1772734440239436800,0.883436767578125,0,0.17717093229293823,-0.49799394607543945
1772734440249441800,0.89344189453125,-0.06224924325942993,0.2968810200691223,-0.6177040338516235
1772734440259804000,0.903803955078125,0.002394201699644327,0.5626373887062073,-0.6967126727104187
1772734440269522700,0.913522705078125,0.0071826050989329815,0.8643068075180054,-0.8403648138046265
1772734440279590400,0.92359033203125,-0.05267243832349777,0.9074024558067322,-0.8643068075180054
1772734440309701000,0.953701171875,-0.3447650372982025,0.28969839215278625,-0.9959878921508789
1772734440320386000,0.964385986328125,-0.36152446269989014,0,-0.8667010068893433
1772734440329781500,0.973781494140625,-0.2537853717803955,-0.2513911724090576,-0.5578489899635315
1772734440342321400,0.9863212890625,-0.2801215946674347,-0.35434186458587646,-0.38067805767059326
1772734440349910800,0.993910888671875,-0.272938996553421,-0.24899697303771973,-0.33039984107017517
1772734440360277200,1.00427734375,-0.38546648621559143,0.043095629662275314,-0.2106897532939911
1772734440369966600,1.013966552734375,-0.42856210470199585,0.22505496442317963,-0.3471592366695404
1772734440380017400,1.024017333984375,-0.4884171485900879,0.09576806426048279,-0.4118026793003082
1772734440410117600,1.05411767578125,-0.6416460275650024,-0.06703764945268631,-0.42377370595932007
1772734440420169200,1.064169189453125,-0.5770025849342346,-0.2537853717803955,-0.3734954595565796
1772734440430188300,1.074188232421875,-0.2561795711517334,-0.6631938815116882,-0.19871874153614044
1772734440440265200,1.08426513671875,-0.1173158809542656,-0.9792284965515137,0.11013327538967133
1772734440450294000,1.0942939453125,-0.019153613597154617,-1.0582371950149536,0.5746083855628967
1772734440460630000,1.104630126953125,0.06224924325942993,-0.7996633648872375,0.9576807022094727
1772734440470338600,1.114338623046875,0.08858546614646912,-0.8307880163192749,1.3311761617660522
1772734440481007600,1.125007568359375,-0.06224924325942993,-0.6344634294509888,1.501164436340332
1772734440502096000,1.146095947265625,-0.8188169598579407,-0.7972691655158997,1.6950948238372803
1772734440510495000,1.154494873046875,-1.2090718746185303,-1.0103530883789062,1.8124107122421265
1772734440520543700,1.164543701171875,-1.3718775510787964,-1.0462661981582642,1.6879122257232666
1772734440530526700,1.174526611328125,-1.5275006294250488,-1.3742717504501343,1.7070658206939697
1772734440540561200,1.18456103515625,-1.3742717504501343,-1.53707754611969,1.7597382068634033
1772734440550565000,1.194565185546875,-0.9768342971801758,-1.7860745191574097,1.9369091987609863
1772734440560932900,1.204932861328125,-0.751779317855835,-1.802833914756775,2.049436569213867
1772734440570588400,1.21458837890625,-0.5841852426528931,-1.8555063009262085,2.3080103397369385
1772734440580616400,1.224616455078125,-0.42377370595932007,-1.5466543436050415,2.2816741466522217
1772734440590625800,1.234625732421875,-0.7350199222564697,-1.4484920501708984,2.516305923461914
1772734440620683800,1.264683837890625,-2.1045033931732178,-1.3072341680526733,2.1116859912872314
1772734440630686000,1.27468603515625,-2.1523873805999756,-1.7334020137786865,2.0590133666992188
1772734440641350100,1.28535009765625,-2.013523578643799,-1.920149803161621,1.8100165128707886
1772734440650721800,1.2947216796875,-1.3503297567367554,-2.166752576828003,2.3511061668395996
1772734440663572700,1.30757275390625,-1.1300631761550903,-1.7932571172714233,2.3702597618103027
1772734440672808200,1.31680810546875,-1.3934253454208374,-1.680729627609253,2.5785553455352783
1772734440682854000,1.32685400390625,-1.3862427473068237,-1.5418659448623657,2.387019157409668
1772734440692830700,1.336830810546875,-1.3048399686813354,-1.5969325304031372,2.22660756111145
1772734440722939600,1.366939697265625,-1.4245500564575195,-0.9624691009521484,1.8076223134994507
1772734440732944400,1.3769443359375,-1.194706678390503,-1.3263877630233765,1.9369091987609863
1772734440742954200,1.386954345703125,-0.8427590131759644,-1.5466543436050415,1.867477297782898
1772734440752960800,1.396960693359375,-0.912190854549408,-1.6160861253738403,1.8914192914962769
1772734440763328500,1.40732861328125,-0.790086567401886,-1.45806884765625,1.50355863571167
1772734440772995000,1.4169951171875,-0.7996633648872375,-1.41257905960083,1.436521053314209
1772734440783047200,1.427047119140625,-0.4189853072166443,-1.194706678390503,1.158793568611145
1772734440793043700,1.437043701171875,-0.021547814831137657,-1.0199298858642578,1.139639973640442
1772734440803695000,1.447695068359375,0.21308395266532898,-0.4596867263317108,0.8571242094039917
1772734440824691500,1.46869140625,0.3447650372982025,-0.3495534360408783,0.45010992884635925
1772734440833125600,1.477125732421875,0.45010992884635925,-0.5937620401382446,0.3519476354122162
1772734440843172900,1.4871728515625,0.5626373887062073,-0.5650315880775452,0.043095629662275314
1772734440853154000,1.497154052734375,0.4692635238170624,-0.4405331015586853,-0.24899697303771973
1772734440863496400,1.507496337890625,0.3423708379268646,-0.019153613597154617,-0.5123591423034668
