time,seconds_elapsed,z,y,x
1772455995973427500,2.170427490234375,-1.060359001159668,6.943946361541748,-6.843070983886719
1772455995984090000,2.181090087890625,-1.0360897779464722,6.935492515563965,-6.855350971221924
1772455995994076400,2.191076416015625,-0.9102991819381714,6.945765018463135,-6.86280632019043
1772455996004123100,2.201123046875,-0.9893776774406433,6.929636478424072,-6.868162631988525
1772455996014134000,2.211134033203125,-1.0068359375,6.927656173706055,-6.8676228523254395
1772455996024482300,2.221482421875,-1.0033414363861084,6.929455280303955,-6.8663225173950195
1772455996034144000,2.23114404296875,-1.0010769367218018,6.9307098388671875,-6.86538553237915
1772455996044193300,2.241193359375,-1.0004476308822632,6.931123733520508,-6.865058898925781
1772455996054154200,2.251154296875,-1.0013644695281982,6.931519031524658,-6.864525318145752
1772455996064192000,2.26119189453125,-1.0023388862609863,6.931534290313721,-6.864367961883545
1772455996074176800,2.2711767578125,-1.002074122428894,6.931894302368164,-6.864043235778809
1772455996105810200,2.30281005859375,-0.9939356446266174,6.935757637023926,-6.861323356628418
1772455996114223900,2.311223876953125,-0.9917071461677551,6.936858177185059,-6.860533714294434
1772455996124576800,2.32157666015625,-0.9891654849052429,6.938046932220459,-6.859699249267578
1772455996134239700,2.33123974609375,-0.9868752360343933,6.9388885498046875,-6.859175205230713
1772455996144276700,2.34127685546875,-0.9861618280410767,6.939021587371826,-6.8591437339782715
1772455996154282200,2.3512822265625,-0.9834237694740295,6.939233779907227,-6.859321594238281
1772455996164334800,2.3613349609375,-0.9825482964515686,6.939162254333496,-6.85952091217041
1772455996174314200,2.371314208984375,-0.982580304145813,6.939216613769531,-6.859462261199951
1772455996184336100,2.381336181640625,-0.9815218448638916,6.939239025115967,-6.85959005355835
1772455996194326300,2.391326171875,-0.978366494178772,6.939919948577881,-6.859350681304932
1772455996204369200,2.401369140625,-0.9753527045249939,6.940552234649658,-6.859139919281006
1772455996214344400,2.411344482421875,-0.9714553952217102,6.941031455993652,-6.859210968017578
1772455996224676400,2.42167626953125,-0.9682669639587402,6.941040992736816,-6.859649658203125
1772455996234350600,2.4313505859375,-0.9670068621635437,6.94096040725708,-6.8599090576171875
1772455996244995600,2.44199560546875,-0.9672743082046509,6.940810203552246,-6.8600239753723145
1772455996254373600,2.45137353515625,-0.9666494131088257,6.940754413604736,-6.860167503356934
1772455996266875100,2.463875244140625,-0.9651849269866943,6.940764427185059,-6.860365390777588
1772455996274403600,2.471403564453125,-0.9634993076324463,6.941007137298584,-6.86035680770874
1772455996284443000,2.48144287109375,-0.9612280130386353,6.941330909729004,-6.860347747802734
1772455996304462300,2.50146240234375,-0.9587582349777222,6.9418134689331055,-6.860202789306641
1772455996314460400,2.51146044921875,-0.9570056796073914,6.942463397979736,-6.859792232513428
1772455996324817200,2.521817138671875,-0.9552926421165466,6.943694114685059,-6.85878324508667
1772455996334509300,2.53150927734375,-0.9552182555198669,6.943725109100342,-6.858763217926025
1772455996344529400,2.541529296875,-0.954895555973053,6.945098876953125,-6.857418537139893
1772455996354536400,2.551536376953125,-0.9558504223823547,6.945777416229248,-6.856595516204834
1772455996364567800,2.56156787109375,-0.9567727446556091,6.946924686431885,-6.855306625366211
1772455996374544100,2.571544189453125,-0.9573838710784912,6.948459625244141,-6.853665351867676
1772455996384555500,2.581555419921875,-0.9574642777442932,6.9505462646484375,-6.851537704467773
1772455996414573600,2.611573486328125,-0.9544907808303833,6.9546637535095215,-6.847772121429443
1772455996426518800,2.623518798828125,-0.9525594115257263,6.957756996154785,-6.844897747039795
1772455996434610400,2.6316103515625,-0.952457845211029,6.9584641456604,-6.8441948890686035
