time,seconds_elapsed,yaw,pitch,qy,qz,roll,qx,qw
1772455995973430300,2.17043017578125,2.6591532230377197,-0.915723979473114,-0.16630199551582336,-0.5627999901771545,1.5075654983520508,0.6731240153312683,0.4500020146369934
1772455995984092700,2.1810927734375,2.6591532230377197,-0.915723979473114,-0.16630199551582336,-0.5627999901771545,1.5075654983520508,0.6731240153312683,0.4500020146369934
1772455995994079000,2.191078857421875,2.6591532230377197,-0.915723979473114,-0.16630199551582336,-0.5627999901771545,1.5075654983520508,0.6731240153312683,0.4500020146369934
1772455996004126000,2.2011259765625,2.6591532230377197,-0.915723979473114,-0.16630199551582336,-0.5627999901771545,1.5075654983520508,0.6731240153312683,0.4500020146369934
1772455996014136600,2.211136474609375,2.6591532230377197,-0.915723979473114,-0.16630199551582336,-0.5627999901771545,1.5075654983520508,0.6731240153312683,0.4500020146369934
1772455996024484900,2.22148486328125,2.6591532230377197,-0.915723979473114,-0.16630199551582336,-0.5627999901771545,1.5075654983520508,0.6731240153312683,0.4500020146369934
1772455996034146600,2.231146484375,3.092947244644165,-0.7793682217597961,-0.22870999574661255,-0.591605007648468,1.7333613634109497,0.7108150124549866,0.30403000116348267
1772455996044196000,2.241196044921875,3.092947244644165,-0.7793682217597961,-0.22870999574661255,-0.591605007648468,1.7333613634109497,0.7108150124549866,0.30403000116348267
1772455996054156800,2.25115673828125,3.092947244644165,-0.7793682217597961,-0.22870999574661255,-0.591605007648468,1.7333613634109497,0.7108150124549866,0.30403000116348267
1772455996064194800,2.26119482421875,3.092947244644165,-0.7793682217597961,-0.22870999574661255,-0.591605007648468,1.7333613634109497,0.7108150124549866,0.30403000116348267
1772455996074179000,2.271178955078125,2.883735179901123,-0.7803446054458618,-0.153562992811203,-0.5564929842948914,1.733279824256897,0.7306849956512451,0.3644599914550781
1772455996105813000,2.30281298828125,2.883735179901123,-0.7803446054458618,-0.153562992811203,-0.5564929842948914,1.733279824256897,0.7306849956512451,0.3644599914550781
1772455996114226400,2.311226318359375,2.883735179901123,-0.7803446054458618,-0.153562992811203,-0.5564929842948914,1.733279824256897,0.7306849956512451,0.3644599914550781
1772455996124579300,2.321579345703125,2.883735179901123,-0.7803446054458618,-0.153562992811203,-0.5564929842948914,1.733279824256897,0.7306849956512451,0.3644599914550781
1772455996134242300,2.3312421875,3.074902296066284,-0.7812021970748901,-0.22320400178432465,-0.5894169807434082,1.7310445308685303,0.7119200229644775,0.3097350001335144
1772455996144279600,2.341279541015625,3.074902296066284,-0.7812021970748901,-0.22320400178432465,-0.5894169807434082,1.7310445308685303,0.7119200229644775,0.3097350001335144
1772455996154284800,2.351284912109375,3.074902296066284,-0.7812021970748901,-0.22320400178432465,-0.5894169807434082,1.7310445308685303,0.7119200229644775,0.3097350001335144
1772455996164337400,2.36133740234375,3.074902296066284,-0.7812021970748901,-0.22320400178432465,-0.5894169807434082,1.7310445308685303,0.7119200229644775,0.3097350001335144
1772455996174316800,2.37131689453125,-3.1083762645721436,-0.781150758266449,-0.2584899961948395,-0.6042330265045166,1.7308176755905151,0.6998260021209717,0.27987000346183777
1772455996194328800,2.391328857421875,-3.1083762645721436,-0.781150758266449,-0.2584899961948395,-0.6042330265045166,1.7308176755905151,0.6998260021209717,0.27987000346183777
1772455996204372000,2.4013720703125,-3.1083762645721436,-0.781150758266449,-0.2584899961948395,-0.6042330265045166,1.7308176755905151,0.6998260021209717,0.27987000346183777
1772455996214347000,2.411346923828125,-3.1083762645721436,-0.781150758266449,-0.2584899961948395,-0.6042330265045166,1.7308176755905151,0.6998260021209717,0.27987000346183777
1772455996224679000,2.421678955078125,-3.1083762645721436,-0.781150758266449,-0.2584899961948395,-0.6042330265045166,1.7308176755905151,0.6998260021209717,0.27987000346183777
1772455996234353200,2.431353271484375,-3.1227893829345703,-0.7810849547386169,-0.25387099385261536,-0.6033220291137695,1.7276440858840942,0.7007240056991577,0.2837910056114197
1772455996244998100,2.441998046875,-3.1227893829345703,-0.7810849547386169,-0.25387099385261536,-0.6033220291137695,1.7276440858840942,0.7007240056991577,0.2837910056114197
1772455996254376400,2.45137646484375,-3.1227893829345703,-0.7810849547386169,-0.25387099385261536,-0.6033220291137695,1.7276440858840942,0.7007240056991577,0.2837910056114197
1772455996266877700,2.463877685546875,-3.1227893829345703,-0.7810849547386169,-0.25387099385261536,-0.6033220291137695,1.7276440858840942,0.7007240056991577,0.2837910056114197
1772455996274406100,2.47140625,-3.0598111152648926,-0.7804177403450012,-0.2754630148410797,-0.6116430163383484,1.7287579774856567,0.6928290128707886,0.26457199454307556
1772455996304465200,2.501465087890625,-3.0598111152648926,-0.7804177403450012,-0.2754630148410797,-0.6116430163383484,1.7287579774856567,0.6928290128707886,0.26457199454307556
1772455996314463000,2.511462890625,-3.0604445934295654,-0.7802873253822327,-0.27522599697113037,-0.6116290092468262,1.7286016941070557,0.6928889751434326,0.26469698548316956
1772455996324820000,2.521820068359375,-3.0604445934295654,-0.7802873253822327,-0.27522599697113037,-0.6116290092468262,1.7286016941070557,0.6928889751434326,0.26469698548316956
1772455996334511900,2.531511962890625,-3.0604445934295654,-0.7802873253822327,-0.27522599697113037,-0.6116290092468262,1.7286016941070557,0.6928889751434326,0.26469698548316956
1772455996344532000,2.541531982421875,-3.0604445934295654,-0.7802873253822327,-0.27522599697113037,-0.6116290092468262,1.7286016941070557,0.6928889751434326,0.26469698548316956
1772455996354539000,2.5515390625,-3.0604445934295654,-0.7802873253822327,-0.27522599697113037,-0.6116290092468262,1.7286016941070557,0.6928889751434326,0.26469698548316956
1772455996364570400,2.5615703125,-3.0604445934295654,-0.7802873253822327,-0.27522599697113037,-0.6116290092468262,1.7286016941070557,0.6928889751434326,0.26469698548316956
1772455996374546700,2.571546630859375,-3.0710055828094482,-0.7804391980171204,-0.27149999141693115,-0.6099249720573425,1.7294080257415771,0.6945549845695496,0.2680869996547699
1772455996384558000,2.58155810546875,-3.0710055828094482,-0.7804391980171204,-0.27149999141693115,-0.6099249720573425,1.7294080257415771,0.6945549845695496,0.2680869996547699
1772455996414576000,2.611576171875,-3.0864765644073486,-0.7812981605529785,-0.2662479877471924,-0.6074159741401672,1.730326533317566,0.6967819929122925,0.27322399616241455
1772455996426523400,2.6235234375,-3.0864765644073486,-0.7812981605529785,-0.2662479877471924,-0.6074159741401672,1.730326533317566,0.6967819929122925,0.27322399616241455
1772455996434613000,2.631613037109375,-3.0864765644073486,-0.7812981605529785,-0.2662479877471924,-0.6074159741401672,1.730326533317566,0.6967819929122925,0.27322399616241455
1772455996444632800,2.6416328125,-3.0864765644073486,-0.7812981605529785,-0.2662479877471924,-0.6074159741401672,1.730326533317566,0.6967819929122925,0.27322399616241455
1772455996454596600,2.6515966796875,-3.0864765644073486,-0.7812981605529785,-0.2662479877471924,-0.6074159741401672,1.730326533317566,0.6967819929122925,0.27322399616241455
1772455996464609300,2.661609375,-3.0864765644073486,-0.7812981605529785,-0.2662479877471924,-0.6074159741401672,1.730326533317566,0.6967819929122925,0.27322399616241455
1772455996474600000,2.671599853515625,-3.101757764816284,-0.7820726633071899,-0.2610990107059479,-0.6051009893417358,1.7306671142578125,0.6987820267677307,0.2781760096549988
1772455996484627700,2.681627685546875,-3.101757764816284,-0.7820726633071899,-0.2610990107059479,-0.6051009893417358,1.7306671142578125,0.6987820267677307,0.2781760096549988
1772455996514599400,2.711599365234375,-3.1052258014678955,-0.7817748188972473,-0.25979000329971313,-0.6046320199966431,1.730728030204773,0.6992970108985901,0.27912700176239014
1772455996524937200,2.721937255859375,-3.1052258014678955,-0.7817748188972473,-0.25979000329971313,-0.6046320199966431,1.730728030204773,0.6992970108985901,0.27912700176239014
1772455996534593300,2.73159326171875,-3.1052258014678955,-0.7817748188972473,-0.25979000329971313,-0.6046320199966431,1.730728030204773,0.6992970108985901,0.27912700176239014
1772455996544621800,2.741621826171875,-3.1052258014678955,-0.7817748188972473,-0.25979000329971313,-0.6046320199966431,1.730728030204773,0.6992970108985901,0.27912700176239014
1772455996554618000,2.7516181640625,-3.1172077655792236,-0.781072199344635,-0.25541698932647705,-0.6031069755554199,1.7305119037628174,0.7008799910545349,0.2824690043926239
1772455996565251600,2.76225146484375,-3.1172077655792236,-0.781072199344635,-0.25541698932647705,-0.6031069755554199,1.7305119037628174,0.7008799910545349,0.2824690043926239
1772455996574612500,2.771612548828125,-3.1172077655792236,-0.781072199344635,-0.25541698932647705,-0.6031069755554199,1.7305119037628174,0.7008799910545349,0.2824690043926239
1772455996587097300,2.784097412109375,-3.1172077655792236,-0.781072199344635,-0.25541698932647705,-0.6031069755554199,1.7305119037628174,0.7008799910545349,0.2824690043926239
1772455996614625000,2.811625,-3.129956007003784,-0.7807185649871826,-0.25097599625587463,-0.6016749739646912,1.729551911354065,0.702256977558136,0.28606200218200684
1772455996624944000,2.821944091796875,-3.129956007003784,-0.7807185649871826,-0.25097599625587463,-0.6016749739646912,1.729551911354065,0.702256977558136,0.28606200218200684
1772455996634621700,2.83162158203125,-3.129956007003784,-0.7807185649871826,-0.25097599625587463,-0.6016749739646912,1.729551911354065,0.702256977558136,0.28606200218200684
1772455996644647200,2.841647216796875,-3.129956007003784,-0.7807185649871826,-0.25097599625587463,-0.6016749739646912,1.729551911354065,0.702256977558136,0.28606200218200684
1772455996654609200,2.851609130859375,3.131165027618408,-0.7802807688713074,-0.24317499995231628,-0.5987619757652283,1.7289149761199951,0.7048550248146057,0.29245099425315857
1772455996664612600,2.861612548828125,3.131165027618408,-0.7802807688713074,-0.24317499995231628,-0.5987619757652283,1.7289149761199951,0.7048550248146057,0.29245099425315857
1772455996674607000,2.871607177734375,3.131165027618408,-0.7802807688713074,-0.24317499995231628,-0.5987619757652283,1.7289149761199951,0.7048550248146057,0.29245099425315857
1772455996684626400,2.88162646484375,3.131165027618408,-0.7802807688713074,-0.24317499995231628,-0.5987619757652283,1.7289149761199951,0.7048550248146057,0.29245099425315857
1772455996694599000,2.891598876953125,3.131165027618408,-0.7802807688713074,-0.24317499995231628,-0.5987619757652283,1.7289149761199951,0.7048550248146057,0.29245099425315857
1772455996725562400,2.922562255859375,3.1180098056793213,-0.7793007493019104,-0.23829199373722076,-0.5970799922943115,1.7285481691360474,0.7064679861068726,0.2959960103034973
1772455996734599400,2.931599365234375,3.1180098056793213,-0.7793007493019104,-0.23829199373722076,-0.5970799922943115,1.7285481691360474,0.7064679861068726,0.2959960103034973
1772455996746203100,2.943203125,3.1180098056793213,-0.7793007493019104,-0.23829199373722076,-0.5970799922943115,1.7285481691360474,0.7064679861068726,0.2959960103034973
1772455996754614800,2.95161474609375,3.1003692150115967,-0.777503490447998,-0.2312300056219101,-0.5940279960632324,1.7303874492645264,0.7093369960784912,0.3008359968662262
1772455996764641000,2.96164111328125,3.1003692150115967,-0.777503490447998,-0.2312300056219101,-0.5940279960632324,1.7303874492645264,0.7093369960784912,0.3008359968662262
1772455996774597400,2.971597412109375,3.1003692150115967,-0.777503490447998,-0.2312300056219101,-0.5940279960632324,1.7303874492645264,0.7093369960784912,0.3008359968662262
1772455996784808000,2.981807861328125,3.1003692150115967,-0.777503490447998,-0.2312300056219101,-0.5940279960632324,1.7303874492645264,0.7093369960784912,0.3008359968662262
1772455996794608400,2.9916083984375,3.0946836471557617,-0.7741540670394897,-0.22724799811840057,-0.5913730263710022,1.7366727590560913,0.7123119831085205,0.3020690083503723
1772455996804638000,3.001637939453125,3.0946836471557617,-0.7741540670394897,-0.22724799811840057,-0.5913730263710022,1.7366727590560913,0.7123119831085205,0.3020690083503723
1772455996834638600,3.031638671875,3.0946836471557617,-0.7741540670394897,-0.22724799811840057,-0.5913730263710022,1.7366727590560913,0.7123119831085205,0.3020690083503723
1772455996844662500,3.04166259765625,3.0946836471557617,-0.7741540670394897,-0.22724799811840057,-0.5913730263710022,1.7366727590560913,0.7123119831085205,0.3020690083503723
1772455996854616600,3.051616455078125,3.0877890586853027,-0.768785297870636,-0.22147899866104126,-0.5870500206947327,1.7478010654449463,0.7170959711074829,0.30346301198005676
1772455996864620500,3.06162060546875,3.0877890586853027,-0.768785297870636,-0.22147899866104126,-0.5870500206947327,1.7478010654449463,0.7170959711074829,0.30346301198005676
1772455996874617300,3.071617431640625,3.0877890586853027,-0.768785297870636,-0.22147899866104126,-0.5870500206947327,1.7478010654449463,0.7170959711074829,0.30346301198005676
1772455996885255200,3.082255126953125,3.0877890586853027,-0.768785297870636,-0.22147899866104126,-0.5870500206947327,1.7478010654449463,0.7170959711074829,0.30346301198005676
1772455996894610700,3.091610595703125,3.098977565765381,-0.7551190257072449,-0.21796399354934692,-0.5821800231933594,1.7708019018173218,0.7244499921798706,0.29787200689315796
1772455996907107300,3.104107421875,3.098977565765381,-0.7551190257072449,-0.21796399354934692,-0.5821800231933594,1.7708019018173218,0.7244499921798706,0.29787200689315796
1772455996934628400,3.13162841796875,3.098977565765381,-0.7551190257072449,-0.21796399354934692,-0.5821800231933594,1.7708019018173218,0.7244499921798706,0.29787200689315796
1772455996944637000,3.141636962890625,3.098977565765381,-0.7551190257072449,-0.21796399354934692,-0.5821800231933594,1.7708019018173218,0.7244499921798706,0.29787200689315796
