time,seconds_elapsed,z,y,x
1772455995963364000,2.160364013671875,-1.0606313943862915,6.914454460144043,-7.053318023681641
1772455995973427500,2.170427490234375,-1.0821791887283325,7.086836814880371,-6.983886241912842
1772455995984090000,2.181090087890625,-0.9744400978088379,7.189787864685059,-7.01979923248291
1772455995994076400,2.191076416015625,-1.072602391242981,7.163451671600342,-6.9695210456848145
1772455996004123100,2.201123046875,-1.1540051698684692,7.038952827453613,-7.0317702293396
1772455996014134000,2.211134033203125,-1.1252747774124146,7.0772600173950195,-6.981492042541504
1772455996024482300,2.221482421875,-1.1348515748977661,6.97430944442749,-7.079654216766357
1772455996034144000,2.23114404296875,-1.0630255937576294,6.98628044128418,-7.050923824310303
1772455996044193300,2.241193359375,-1.0678139925003052,6.955155849456787,-7.01979923248291
1772455996054154200,2.251154296875,-1.139639973640442,7.067683219909668,-7.003039836883545
1772455996064192000,2.26119189453125,-1.1061211824417114,7.168240070343018,-7.082048416137695
1772455996074176800,2.2711767578125,-1.0773907899856567,7.139509677886963,-7.0341644287109375
1772455996084830200,2.281830322265625,-1.0654197931289673,7.15387487411499,-7.015010833740234
1772455996105810200,2.30281005859375,-1.0989385843276978,7.094019412994385,-7.038952827453613
1772455996114223900,2.311223876953125,-1.1348515748977661,7.110779285430908,-7.048529624938965
1772455996124576800,2.32157666015625,-1.1037269830703735,7.074865818023682,-7.022193431854248
1772455996134239700,2.33123974609375,-1.0582371950149536,7.137115478515625,-7.007828235626221
1772455996144276700,2.34127685546875,-1.1204863786697388,7.050923824310303,-7.043741226196289
1772455996154282200,2.3512822265625,-1.1037269830703735,7.072471618652344,-7.0341644287109375
1772455996164334800,2.3613349609375,-1.0845733880996704,7.089231014251709,-7.017405033111572
1772455996174314200,2.371314208984375,-1.113303780555725,7.060500621795654,-6.921637058258057
1772455996184336100,2.381336181640625,-1.0797849893569946,7.06528902053833,-6.993463039398193
1772455996194326300,2.391326171875,-1.1516109704971313,7.060500621795654,-7.0557122230529785
1772455996204369200,2.401369140625,-1.0749965906143188,7.050923824310303,-7.043741226196289
1772455996214344400,2.411344482421875,-1.05105459690094,7.005434036254883,-7.084442615509033
1772455996224676400,2.42167626953125,-1.0749965906143188,6.892906665802002,-7.043741226196289
1772455996234350600,2.4313505859375,-1.115697979927063,6.981492042541504,-7.082048416137695
1772455996244995600,2.44199560546875,-1.1348515748977661,6.995857238769531,-6.998251438140869
1772455996254373600,2.45137353515625,-1.0271124839782715,7.058106422424316,-7.01979923248291
1772455996266875100,2.463875244140625,-1.0055646896362305,7.086836814880371,-7.041347026824951
1772455996274403600,2.471403564453125,-0.9888052940368652,7.06528902053833,-6.97430944442749
1772455996284443000,2.48144287109375,-1.0606313943862915,7.038952827453613,-7.005434036254883
1772455996304462300,2.50146240234375,-1.0797849893569946,7.017405033111572,-7.010222434997559
1772455996314460400,2.51146044921875,-1.0031704902648926,7.017405033111572,-6.9910688400268555
1772455996324817200,2.521817138671875,-1.0342950820922852,7.072471618652344,-6.981492042541504
1772455996334509300,2.53150927734375,-1.0319008827209473,7.022193431854248,-7.026981830596924
1772455996344529400,2.541529296875,-1.0462661981582642,7.094019412994385,-6.936002254486084
1772455996354536400,2.551536376953125,-1.0319008827209473,7.041347026824951,-7.026981830596924
1772455996364567800,2.56156787109375,-1.0199298858642578,7.060500621795654,-6.983886241912842
1772455996374544100,2.571544189453125,-1.0223240852355957,7.1921820640563965,-7.141903877258301
1772455996384555500,2.581555419921875,-1.0342950820922852,7.091625213623047,-6.957550048828125
1772455996394543400,2.59154345703125,-1.0845733880996704,7.0772600173950195,-7.029376029968262
1772455996414573600,2.611573486328125,-1.1180921792984009,6.995857238769531,-7.0557122230529785
1772455996426518800,2.623518798828125,-1.0869675874710083,7.017405033111572,-7.026981830596924
1772455996434610400,2.6316103515625,-1.070208191871643,7.0557122230529785,-7.1251444816589355
1772455996444630000,2.641630126953125,-1.1276689767837524,7.151480674743652,-7.015010833740234
1772455996454594000,2.651593994140625,-1.0247182846069336,7.094019412994385,-7.024587631225586
1772455996464606500,2.6616064453125,-1.072602391242981,7.168240070343018,-7.0557122230529785
1772455996474597400,2.671597412109375,-1.1228805780410767,7.208941459655762,-7.1251444816589355
1772455996484625200,2.681625244140625,-1.0821791887283325,7.161057472229004,-7.017405033111572
1772455996494590200,2.691590087890625,-1.0295066833496094,7.175422668457031,-7.058106422424316
